identity,species,common_name,origin,country,viable_seed_per_kg,availability,uses
ST/32/11ST/50/11ST/51/11ST/52/11,Pinus tecunumanii,Pino rojo,Yucul,Nicaragua,"68,018",in stock,ZA-ZM-M
,Pinus radiata,Pino insigne,La Quispa,Perú,"24,656",in stock,ZA-M
ST/13/07,Prosopis juliflora,Algarrobo / Espino Ruco,Comayagua,Honduras,"8,707",in stock,ZB-L
,Prunus serotina o capuli,Alamo,Cinti,Bolivia,"2,596",in stock,ZA-M
ST/42/12,Psidium guajaba,Guayaba Pera,Siguatepeque,Honduras,,,
,Quercus s.p.,Encino,,Honduras,428,in stock,ZA-M
,Roystonea elata,Palma de Florida,La Ceiba,Honduras,253,in stock,ZB-O
ST/89/99,Resinus comunis,Higuerilla,Siguatepeque,Honduras,"2,069",in stock,ZB-Md.
ST/18/06,Samanea saman,Carreto,Comayagua,Honduras,"3,978",in stock,ZB-M-Som.-O
ST/54/01,Schinus molle,Sauce lloron,Tarata,Bolivia,"29,688",in stock,ZB-PC-O
ST/35/09,Schyzolobium parahybum,Cola de zorro,El Progreso,Honduras,"1,380",in stock,ZB-O-M
ST/10/02,Senna atomaria,Acacia,Comayagua,Honduras,"40,592",in stock,ZB-L
,Senna guatemalensis,Frijolillo,Tutule,Honduras,"21,135",in stock,ZA-FN-L
ST/38/05,Spathodea campanulata,Llama del bosque,Siguatepeque,Honduras,"179,963",in stock,ZB-O
,Simarouba glauca,Negrito,Camasca,Honduras,686,in stock,ZB-M-Som.-Com.
ST/09/11ST/12/11,Swietenia humilis,Caoba del Pacifico,Comayagua,Honduras,"2,420",in stock,ZB-M
ST/04/11,Swietenia humilis,Caoba del Pacifico,San Antonio del Norte,Honduras,"1,263",in stock,ZB-M
ST/01/11,Swietenia macrophylla,Caoba del Atlantico,Santa Barbara,Honduras,"1,798",in stock,ZB-M
,Swietenia mahogani,Caoba,San Pedro Sula,Honduras,"2,200",in stock,ZB-M
ST/19/12,Tabebuia chrysantha / ochracea / Guayacan,Cortes Amarillo,Siguatepeque,Honduras,"72,970",in stock,ZB-O
ST/18/10,Tabebuia pentaphylla / rosea,Macuelizo,Comayagua,Honduras,"32,555",in stock,ZB-O
ST/11/11,Tamarindus indica,Tamarindo,El Rosario,Honduras,919,in stock,ZB-F
ST/04/10ST/08/11,Tectona grandis,Teca,La Cumbre,Honduras,"1,732",in stock,ZB-M
,Tephrosia vogelii,Frijol de Abono,Siguatepeque,Honduras,"17,958",in stock,FN
,Toona ciliata,Tona,Dehra Dun,La India,"157,000",in stock,ZB-M
,Thuja occidentalis,Cipres de palma,Dehra Dun,La India,"41,079",in stock,ZB-ZA-O
,Terminalia catappa,Almendra,San Pedro Sula,Honduras,332,in stock,ZB-M-O
,Terminalia superba,Limba,Lancetilla,Honduras,"15,138",limited,ZB-M
ST/47/08,Terminalia ivorensis,Framire o iroca,La Masica,Honduras,"5,498",limited,ZB-M
